playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,ERA,IBB,WP,HBP,BK,BFP,GF,R
devinjo01,2005,1,ATL,NL,0,1,5,0,0,0,0,15,6,7,2,5,3,12.6,1,0,0,0,26,1,7
verlaju01,2005,1,DET,AL,0,2,2,2,0,0,0,34,15,9,1,5,7,7.15,0,1,1,0,54,0,9
campijo01,2005,1,SEA,AL,0,0,2,1,0,0,0,6,1,0,0,1,1,0,0,0,0,0,9,1,0
jenksbo01,2005,1,CHA,AL,1,1,32,0,0,0,6,118,34,12,3,15,50,2.75,3,4,1,0,168,18,15
maholpa01,2005,1,PIT,NL,3,1,6,6,0,0,0,124,31,10,2,17,26,2.18,0,0,3,0,168,0,10
yabuke01,2005,1,OAK,AL,4,0,40,0,0,0,1,174,64,29,6,26,44,4.5,3,2,8,0,262,15,34
kooda01,2005,1,NYN,NL,0,0,33,0,0,0,0,69,22,10,2,13,23,3.91,1,0,2,0,106,4,12
meddebr01,2005,1,ARI,NL,4,1,27,0,0,0,0,91,21,6,2,11,31,1.78,0,1,1,0,122,10,6
mcgowdu01,2005,1,TOR,AL,1,3,13,7,0,0,0,136,49,32,7,17,34,6.35,0,7,7,0,205,2,34
streehu01,2005,1,OAK,AL,5,1,67,0,0,0,23,235,53,15,3,26,72,1.72,4,1,2,0,306,47,17
thompju02,2005,1,TEX,AL,0,0,2,0,0,0,0,5,4,4,2,0,1,21.6,0,0,0,0,9,2,4
howeljp01,2005,1,KCA,AL,3,5,15,15,0,0,0,218,73,50,9,39,54,6.19,0,7,6,0,328,0,55
vargaja01,2005,1,FLO,NL,5,5,17,13,1,0,0,221,71,33,4,31,59,4.03,4,0,4,0,325,0,34
meredcl01,2005,1,BOS,AL,0,0,3,0,0,0,0,7,6,7,1,4,0,27,0,1,1,0,18,0,7
oxsprch01,2005,1,SDN,NL,0,0,5,0,0,0,0,36,9,5,2,6,11,3.75,0,0,0,0,49,0,8
webbjo01,2005,1,TBA,AL,0,1,1,1,0,0,0,12,6,8,1,4,2,18,0,0,1,0,23,0,8
rupejo01,2005,1,TEX,AL,1,0,4,1,0,0,0,29,7,3,0,4,6,2.79,0,1,2,0,39,1,4
harrije02,2005,1,SEA,AL,2,5,11,8,0,0,0,161,48,25,9,20,25,4.19,2,0,3,0,227,1,27
reyesan01,2005,1,SLN,NL,1,1,4,1,0,0,0,40,6,4,2,4,12,2.7,1,2,0,0,51,0,4
kuoho01,2005,1,LAN,NL,0,1,9,0,0,0,0,16,5,4,1,5,10,6.75,1,0,0,1,26,0,4
feldmsc01,2005,1,TEX,AL,0,1,8,0,0,0,0,28,9,1,0,2,4,0.96,1,0,0,0,37,3,1
sherrge01,2005,1,SEA,AL,4,3,29,0,0,0,0,57,13,11,3,7,24,5.21,2,0,1,0,77,2,12
raych01,2005,1,BAL,AL,1,3,41,0,0,0,0,122,34,12,5,18,43,2.66,3,0,1,1,174,8,15
staufti01,2005,1,SDN,NL,3,6,15,14,0,0,0,243,92,48,10,29,49,5.33,0,0,2,0,355,0,50
accarje01,2005,1,SFN,NL,1,5,28,0,0,0,0,89,26,13,2,9,16,3.94,1,1,1,0,124,7,13
alvarab01,2005,1,BOS,AL,0,0,2,0,0,0,0,7,6,4,1,0,1,15.43,0,0,0,0,13,1,4
marcush01,2005,1,TOR,AL,0,0,5,0,0,0,0,24,6,0,0,4,4,0,0,0,0,0,32,3,0
gorzeto01,2005,1,PIT,NL,0,1,3,1,0,0,0,18,10,8,1,3,3,12,0,0,0,0,32,0,8
bakersc02,2005,1,MIN,AL,3,3,10,9,0,0,0,161,48,20,5,14,32,3.35,0,0,0,0,217,0,21
kensilo01,2005,1,FLO,NL,0,0,3,0,0,0,0,17,11,7,2,3,4,11.12,0,0,0,0,31,0,7
papeljo01,2005,1,BOS,AL,3,1,17,3,0,0,0,102,33,10,4,17,34,2.65,2,1,3,0,148,4,11
orvelch01,2005,1,TBA,AL,3,3,37,0,0,0,1,150,47,20,4,23,43,3.6,2,0,1,0,220,9,26
evelada01,2005,1,MIL,NL,1,1,27,0,0,0,1,95,40,21,2,18,23,5.97,3,1,1,0,146,3,21
pennha01,2005,1,BAL,AL,3,2,8,8,0,0,0,115,46,27,6,21,18,6.34,3,3,0,1,178,0,30
kazmisc01,2005,1,TBA,AL,10,9,32,32,0,0,0,558,172,78,12,100,174,3.77,3,7,10,1,818,0,90
thompbr01,2005,1,SLN,NL,4,0,40,0,0,0,1,165,46,18,5,15,29,2.95,2,0,4,0,225,8,22
esposmi01,2005,1,COL,NL,0,2,3,3,0,0,0,44,21,11,3,9,5,6.75,1,0,0,0,73,0,11
bullibr01,2005,1,PIT,NL,0,0,1,0,0,0,0,4,1,2,0,1,1,13.5,0,0,1,0,7,0,2
schmost01,2005,1,LAN,NL,2,2,48,0,0,0,3,140,47,26,4,22,29,5.01,2,0,3,1,205,14,29
jamesch03,2005,1,ATL,NL,0,0,2,0,0,0,0,17,4,1,0,3,5,1.59,0,1,0,0,23,0,1
blantjo01,2005,1,OAK,AL,12,12,33,33,2,0,0,604,178,79,23,67,116,3.53,3,4,5,2,835,0,86
crainje01,2005,1,MIN,AL,12,5,75,0,0,0,1,239,61,24,6,29,25,2.71,7,2,5,0,326,17,28
hansecr01,2005,1,BOS,AL,0,0,4,0,0,0,0,9,6,2,1,1,3,6,0,0,0,0,16,1,2
hillri01,2005,1,CHN,NL,0,2,10,4,0,0,0,71,25,24,3,17,21,9.13,1,0,1,0,115,1,24
cappsma01,2005,1,PIT,NL,0,0,4,0,0,0,0,12,5,2,0,0,3,4.5,0,0,1,0,16,0,2
mainejo01,2005,1,BAL,AL,2,3,10,8,0,0,0,120,39,28,8,24,24,6.3,0,0,1,1,184,1,30
hernafe02,2005,1,SEA,AL,4,4,12,12,0,0,0,253,61,25,5,23,77,2.67,0,3,2,0,328,0,26
rasneda01,2005,1,WAS,NL,0,1,5,1,0,0,0,22,5,3,0,2,4,3.68,1,0,2,0,31,1,3
halsebr01,2005,1,ARI,NL,8,12,28,26,0,0,0,480,191,82,20,39,82,4.61,3,2,9,1,700,1,101
broxtjo01,2005,1,LAN,NL,1,0,14,0,0,0,0,41,13,9,0,12,22,5.93,2,2,1,0,68,5,11
cainma01,2005,1,SFN,NL,2,1,7,7,1,0,0,139,24,12,4,19,30,2.33,1,1,0,0,181,0,12
francje01,2005,1,COL,NL,14,12,33,33,0,0,0,551,228,116,26,70,128,5.68,5,2,8,0,828,0,119
mccarbr01,2005,1,CHA,AL,3,2,12,10,0,0,0,201,62,30,13,17,48,4.03,0,1,2,1,277,0,30
bergmja01,2005,1,WAS,NL,2,0,15,1,0,0,0,59,14,6,1,11,21,2.75,1,0,2,0,85,4,6
bushda01,2005,1,TOR,AL,5,11,25,24,2,0,0,409,142,68,20,29,75,4.49,3,2,13,0,575,1,73
henslcl01,2005,1,SDN,NL,1,1,24,1,0,0,0,143,33,9,0,17,28,1.7,2,2,0,0,189,5,12
johnsjo09,2005,1,FLO,NL,0,0,4,1,0,0,0,37,11,5,0,10,10,3.65,0,0,1,0,55,0,5
baylijo01,2005,1,KCA,AL,0,0,11,0,0,0,0,35,7,6,2,4,10,4.63,0,0,2,0,48,7,6
olsensc01,2005,1,FLO,NL,1,1,5,4,0,0,0,61,21,9,5,10,21,3.98,0,1,0,0,91,0,13
nippedu01,2005,1,ARI,NL,1,0,3,3,0,0,0,44,10,9,1,13,11,5.52,0,1,1,0,68,0,9
loeka01,2005,1,TEX,AL,9,6,48,8,0,0,1,276,89,35,7,31,45,3.42,6,2,2,0,392,13,43
saundjo01,2005,1,LAA,AL,0,0,2,2,0,0,0,28,10,8,3,4,4,7.71,0,1,0,0,41,0,8
ringro01,2005,1,NYN,NL,0,2,15,0,0,0,0,32,10,6,0,10,8,5.06,1,0,0,0,51,2,6
demarch01,2005,1,KCA,AL,1,0,8,0,0,0,0,27,14,9,3,5,11,9,0,1,0,0,44,5,10
breslcr01,2005,1,SDN,NL,0,0,14,0,0,0,0,49,15,4,1,13,14,2.2,0,1,1,0,78,3,6
cormila01,2005,1,ARI,NL,7,3,67,0,0,0,0,238,86,45,7,43,63,5.11,5,6,5,0,356,13,50
volqued01,2005,1,TEX,AL,0,4,6,3,0,0,0,38,25,20,3,10,11,14.21,0,0,2,0,75,0,22
bulgeja01,2005,1,ARI,NL,1,0,9,0,0,0,0,30,14,6,1,5,9,5.4,1,0,0,0,48,5,6
floydga01,2005,1,PHI,NL,1,2,7,4,0,0,0,78,30,29,5,16,17,10.04,2,2,3,0,127,0,31
leagubr01,2005,1,TOR,AL,1,0,20,0,0,0,0,107,42,26,8,20,17,6.56,1,5,2,0,162,4,27
resopch01,2005,1,FLO,NL,2,0,15,0,0,0,0,51,22,16,1,9,15,8.47,0,3,1,0,80,6,16
dukeza01,2005,1,PIT,NL,8,2,14,14,0,0,0,254,79,17,3,23,58,1.81,2,1,2,0,341,0,20
speiery01,2005,1,COL,NL,2,1,22,0,0,0,0,74,26,10,0,13,10,3.65,0,2,1,0,111,10,12
hennebr01,2005,1,SFN,NL,5,8,21,21,0,0,0,355,127,61,15,52,64,4.64,3,3,4,1,521,0,63
siscoan01,2005,1,KCA,AL,2,5,67,0,0,0,0,226,68,26,6,42,76,3.11,4,2,2,0,329,13,27
davieky01,2005,1,ATL,NL,7,6,21,14,0,0,0,263,98,48,8,49,62,4.93,5,4,1,0,403,2,51
gassnda01,2005,1,MIN,AL,1,0,2,2,0,0,0,23,9,5,1,1,2,5.87,0,0,0,0,34,0,7
wilsocj01,2005,1,TEX,AL,1,7,24,6,0,0,1,144,63,37,5,18,30,6.94,1,4,2,1,220,5,39
houltdj01,2005,1,LAN,NL,6,9,35,19,0,0,0,387,145,74,21,52,90,5.16,3,2,8,0,578,4,79
mcbrima01,2005,1,ATL,NL,1,0,23,0,0,0,1,42,18,9,0,7,22,5.79,0,2,0,0,68,4,11
muntesc01,2005,1,SFN,NL,2,0,45,0,0,0,0,116,40,11,1,12,11,2.56,1,1,1,0,159,7,15
lerewan01,2005,1,ATL,NL,0,0,7,0,0,0,0,24,9,5,1,5,5,5.62,2,0,0,0,37,4,5
burgoam01,2005,1,KCA,AL,3,5,59,0,0,0,2,190,60,28,6,31,65,3.98,1,8,5,2,278,17,29
johnsty01,2005,1,SLN,NL,0,0,5,0,0,0,0,8,3,0,0,3,4,0,0,0,0,0,13,1,0
carvama01,2005,1,COL,NL,0,2,39,0,0,0,0,159,52,30,8,21,47,5.09,0,4,3,0,229,11,30
liriafr01,2005,1,MIN,AL,1,2,6,4,0,0,0,71,19,15,4,7,33,5.7,0,0,0,0,93,2,15
santaer01,2005,1,LAA,AL,12,8,23,23,1,1,0,401,139,69,17,47,99,4.65,2,4,8,0,583,0,73
youngch03,2005,1,TEX,AL,12,7,31,31,0,0,0,494,162,78,19,45,137,4.26,2,3,7,0,700,0,84
delcama01,2005,1,BOS,AL,0,0,10,0,0,0,0,27,8,3,0,7,9,3,0,0,1,0,41,2,3
florero01,2005,1,OAK,AL,0,0,11,0,0,0,0,26,8,1,1,0,6,1.04,0,1,0,0,34,4,1
bazaryo01,2005,1,FLO,NL,0,0,1,0,0,0,0,5,5,4,0,2,2,21.6,0,1,0,0,12,0,5
woodyma01,2005,1,DET,AL,0,0,3,0,0,0,0,18,4,1,1,0,3,1.5,0,0,0,0,22,0,1
calica01,2005,1,SLN,NL,0,0,6,0,0,0,0,18,10,7,3,6,5,10.5,1,1,0,0,33,3,8
burnsmi01,2005,1,HOU,NL,0,0,27,0,0,0,0,93,29,17,6,8,20,4.94,1,1,5,0,136,10,18
bajenje01,2005,1,CHA,AL,0,0,4,0,0,0,0,13,4,3,2,0,3,6.23,0,1,0,0,18,3,3
nunezle01,2005,1,KCA,AL,3,2,41,0,0,0,0,161,73,45,9,18,32,7.55,2,1,3,0,246,10,45
garcija01,2005,1,OAK,AL,0,0,3,0,0,0,0,9,2,1,0,1,1,3,0,1,0,0,12,3,1
osorifr01,2005,1,LAN,NL,0,2,24,0,0,0,0,89,28,13,3,8,15,3.94,0,0,3,0,122,6,14
taschja01,2005,1,SFN,NL,2,0,24,0,0,0,0,68,15,4,0,13,19,1.59,0,0,0,0,95,7,5
bowyetr01,2005,1,MIN,AL,0,1,8,0,0,0,0,29,10,6,3,3,12,5.59,0,1,1,0,42,5,6
messera01,2005,1,FLO,NL,0,0,29,0,0,0,0,111,39,22,5,30,29,5.35,7,1,0,0,178,8,22
atchisc01,2005,1,SEA,AL,0,0,6,0,0,0,0,20,7,5,1,1,9,6.75,0,0,0,0,27,2,5
rakeraa01,2005,1,BAL,AL,1,0,10,0,0,0,0,41,11,5,3,3,11,3.29,0,0,0,0,55,1,5
rodriwa01,2005,1,HOU,NL,10,10,25,22,0,0,0,386,135,79,19,53,80,5.53,2,3,8,3,560,0,82
tejedro01,2005,1,PHI,NL,4,3,26,13,0,0,0,257,67,34,5,51,72,3.57,4,3,8,1,371,5,36
padilju01,2005,1,NYN,NL,3,1,24,0,0,0,1,109,24,6,0,13,17,1.49,2,0,2,0,149,5,7
stemlst01,2005,1,KCA,AL,0,0,6,0,0,0,0,32,10,6,0,4,9,5.06,0,0,0,0,43,1,6
britoeu01,2005,1,PHI,NL,1,2,6,5,0,0,0,66,20,9,2,11,15,3.68,1,0,2,1,94,0,9
vanbuje01,2005,1,CHN,NL,0,2,6,0,0,0,0,18,2,2,0,9,3,3,2,0,0,0,27,1,2
coffeto01,2005,1,CIN,NL,4,1,57,0,0,0,1,174,84,29,5,11,26,4.5,2,1,5,0,265,14,33
willira01,2005,1,SDN,NL,1,0,2,0,0,0,0,13,7,6,1,4,2,12.46,0,0,1,0,25,0,6
shackbr01,2005,1,CIN,NL,1,0,37,0,0,0,0,89,21,8,2,9,17,2.43,1,3,6,1,119,5,9
willira01,2005,2,COL,NL,2,1,30,0,0,0,0,66,26,14,4,9,19,5.73,3,0,0,0,100,6,15
corcoti02,2005,1,TBA,AL,0,0,10,1,0,0,0,68,19,15,1,12,13,5.96,0,2,1,0,97,4,15
peraljo01,2005,1,LAA,AL,1,0,28,0,0,0,0,104,28,15,6,14,30,3.89,2,2,0,0,145,10,15
horgajo01,2005,1,WAS,NL,0,0,8,0,0,0,0,18,19,14,0,4,5,21,0,1,1,0,44,1,15
beanco01,2005,1,NYA,AL,0,0,1,0,0,0,0,6,1,1,0,2,2,4.5,0,0,0,0,9,1,1
colonro01,2005,2,DET,AL,1,1,12,3,0,0,0,75,35,17,7,7,17,6.12,0,2,0,0,115,1,17
colonro01,2005,1,ATL,NL,1,5,23,4,0,0,0,133,47,26,10,14,30,5.28,1,2,0,1,191,6,28
boyerbl01,2005,1,ATL,NL,4,2,43,0,0,0,0,113,32,13,1,17,33,3.11,0,2,2,0,158,5,13
wainwad01,2005,1,SLN,NL,0,0,2,0,0,0,0,6,2,3,1,1,0,13.5,0,0,0,0,9,1,3
capeljo01,2005,1,MIL,NL,1,1,17,0,0,0,0,47,17,5,1,5,14,2.87,0,0,0,0,67,7,6
snellia01,2005,1,PIT,NL,1,2,15,5,0,0,0,126,43,24,5,24,34,5.14,3,4,1,0,189,2,25
regilni01,2005,1,TEX,AL,1,2,18,0,0,0,0,53,22,9,2,7,14,4.58,1,0,1,0,83,5,10
goslimi01,2005,1,ARI,NL,0,3,13,5,0,0,0,97,40,16,2,19,14,4.45,2,0,0,0,154,5,20
novoaro01,2005,1,CHN,NL,4,5,49,0,0,0,0,134,47,22,4,25,47,4.43,6,4,0,1,205,11,22
vasqujo01,2005,1,ATL,NL,1,0,7,0,0,0,0,27,11,3,2,5,9,3,0,1,0,1,42,2,4
woodsja01,2005,1,LAA,AL,1,1,28,0,0,0,0,83,30,14,7,8,20,4.55,0,2,2,0,122,10,18
astacez01,2005,1,HOU,NL,3,6,22,14,0,0,0,243,100,51,23,25,66,5.67,2,4,1,1,366,5,56
quallch01,2005,1,HOU,NL,6,4,77,0,0,0,0,239,73,29,7,23,60,3.28,2,1,6,0,329,19,33
lehrju01,2005,1,MIL,NL,1,1,23,0,0,0,0,104,32,15,4,18,23,3.89,2,1,1,1,154,9,19
nageocl01,2005,1,SEA,AL,0,0,3,0,0,0,0,12,6,3,0,1,1,6.75,0,0,1,0,19,0,3
brazoyh01,2005,1,LAN,NL,4,10,74,0,0,0,21,218,70,43,11,32,61,5.33,4,1,5,0,317,44,46
hennse01,2005,1,NYA,AL,0,3,3,3,0,0,0,34,18,14,3,11,3,11.12,0,0,0,0,61,0,16
majewga01,2005,1,WAS,NL,4,4,79,0,0,0,1,258,80,28,2,37,50,2.93,6,1,7,0,376,24,32
koronjo01,2005,1,CHN,NL,1,2,4,3,0,0,0,47,19,13,2,8,10,7.47,0,1,0,2,76,1,13
thompde01,2005,1,LAN,NL,0,0,4,3,0,0,0,54,16,7,0,10,13,3.5,1,0,0,0,74,0,7
liriape01,2005,1,PHI,NL,0,0,5,0,0,0,0,23,10,9,3,6,6,10.57,0,0,1,0,40,4,11
cabrefe01,2005,1,CLE,AL,2,1,15,0,0,0,0,92,24,5,1,11,29,1.47,1,1,0,1,124,6,7
leicejo01,2005,1,CHN,NL,0,2,6,1,0,0,0,27,11,9,2,9,7,9,0,1,2,0,46,2,10
madribo01,2005,1,SEA,AL,0,1,1,1,0,0,0,13,4,3,1,1,1,6.23,0,0,0,0,18,0,3
bellhe01,2005,1,NYN,NL,1,3,42,0,0,0,0,140,56,29,3,13,43,5.59,3,0,1,1,206,12,30
wangch01,2005,1,NYA,AL,8,5,18,17,0,0,0,349,113,52,9,32,47,4.02,3,3,6,0,486,0,58
guthrje01,2005,1,CLE,AL,0,0,1,0,0,0,0,18,9,4,2,2,3,6,0,0,0,0,29,1,4
guerrma02,2005,1,MIN,AL,0,3,43,0,0,0,0,215,71,27,6,24,46,3.39,5,3,3,0,306,14,29
chacigu01,2005,1,TOR,AL,13,9,34,34,0,0,0,609,213,84,20,70,121,3.72,3,3,8,0,872,0,93
delarjo01,2005,1,MIL,NL,2,2,38,0,0,0,0,127,48,21,1,38,42,4.46,4,6,0,0,208,13,23
hughetr01,2005,1,WAS,NL,1,1,14,0,0,0,0,39,18,8,4,8,8,5.54,1,0,1,0,64,0,8
bookech01,2005,1,CIN,NL,0,0,3,0,0,0,0,6,6,7,2,4,2,31.5,0,0,0,0,15,1,8
nunezfr01,2005,1,TBA,AL,1,0,5,0,0,0,0,15,5,6,0,4,2,10.8,0,0,0,0,22,0,6
carlybu01,2005,1,LAN,NL,0,0,10,0,0,0,0,42,16,13,4,4,13,8.36,0,0,1,0,62,2,13
byrdati01,2005,1,BAL,AL,0,1,41,0,0,0,1,80,27,12,1,21,31,4.05,1,5,1,0,131,3,14
whitema02,2005,1,TOR,AL,0,0,2,0,0,0,0,11,6,8,3,5,5,19.64,0,0,1,0,23,0,8
bautide01,2005,1,KCA,AL,2,2,7,7,0,0,0,107,36,23,2,17,23,5.8,0,3,2,0,160,0,23
ramirel01,2005,1,CIN,NL,0,3,6,4,0,0,0,67,33,21,5,10,9,8.46,2,2,2,0,110,1,22
greinza01,2005,1,KCA,AL,5,17,33,33,2,0,0,549,233,118,23,53,114,5.8,0,4,13,2,829,0,125
brunebr01,2005,1,ARI,NL,1,3,47,0,0,0,12,138,56,38,6,35,51,7.43,2,2,5,0,230,21,39
cabreda01,2005,1,BAL,AL,10,13,29,29,0,0,0,484,144,81,14,87,157,4.52,2,9,11,1,716,0,92
dohmasc01,2005,1,COL,NL,2,1,32,0,0,0,0,93,33,21,6,19,35,6.1,1,0,0,0,143,10,21
adamsmi03,2005,1,MIL,NL,0,1,13,0,0,0,1,40,12,4,2,10,14,2.7,1,1,0,0,61,7,4
croweji01,2005,1,FLO,NL,0,0,4,0,0,0,0,10,10,8,1,0,2,21.6,0,0,2,0,22,2,8
thornma01,2005,1,SEA,AL,0,4,55,0,0,0,0,171,54,33,13,42,57,5.21,2,7,0,0,262,15,33
tadanka01,2005,1,CLE,AL,0,0,1,0,0,0,0,12,4,1,0,0,1,2.25,0,0,0,0,16,1,1
proctsc01,2005,1,NYA,AL,1,0,29,1,0,0,0,134,46,30,10,17,36,6.04,4,4,2,0,199,11,32
gramaal01,2005,1,NYA,AL,0,0,2,0,0,0,0,4,3,2,1,2,0,13.5,1,0,0,0,9,1,2
harikti01,2005,1,OAK,AL,0,0,8,0,0,0,0,38,16,9,3,4,7,6.39,0,0,0,0,56,5,9
